location,subject,time,value_new
PRT,SELFEMPLOYED,2008,6
USA,SELFEMPLOYED,2008,4
NZL,EMPLOYEE,2008,8
JPN,EMPLOYEE,2008,30
OECD,EMPLOYEE,2008,14
GRC,SELFEMPLOYED,2008,38
HUN,SELFEMPLOYED,2008,27
POL,EMPLOYEE,2008,12
DNK,EMPLOYEE,2008,10
DEU,EMPLOYEE,2008,16
ESP,SELFEMPLOYED,2008,31
BEL,SELFEMPLOYED,2008,35
LVA,SELFEMPLOYED,2008,24
AUT,SELFEMPLOYED,2008,4
COL,EMPLOYEE,2008,17
CAN,SELFEMPLOYED,2008,4
FIN,SELFEMPLOYED,2008,36
KOR,EMPLOYEE,2008,39
BEL,EMPLOYEE,2008,8
EU27,EMPLOYEE,2008,13
CZE,SELFEMPLOYED,2008,29
SVN,SELFEMPLOYED,2008,27
LTU,SELFEMPLOYED,2008,7
NOR,SELFEMPLOYED,2009,28
DNK,EMPLOYEE,2009,10
NZL,SELFEMPLOYED,2009,35
USA,EMPLOYEE,2009,19
NZL,EMPLOYEE,2009,8
SVN,SELFEMPLOYED,2009,29
NLD,SELFEMPLOYED,2009,35
CZE,EMPLOYEE,2009,15
AUS,EMPLOYEE,2009,16
DNK,SELFEMPLOYED,2009,16
BEL,EMPLOYEE,2009,7
FIN,SELFEMPLOYED,2009,35
COL,EMPLOYEE,2009,33
CHL,EMPLOYEE,2009,9
AUT,SELFEMPLOYED,2009,4
GBR,SELFEMPLOYED,2009,38
KOR,EMPLOYEE,2009,38
JPN,EMPLOYEE,2009,28
DEU,EMPLOYEE,2009,16
GRC,SELFEMPLOYED,2009,42
USA,SELFEMPLOYED,2009,4
SWE,SELFEMPLOYED,2009,15
CAN,SELFEMPLOYED,2009,4
PRT,SELFEMPLOYED,2009,5
OECD,EMPLOYEE,2009,14
HUN,SELFEMPLOYED,2009,32
ESP,SELFEMPLOYED,2009,29
CAN,EMPLOYEE,2009,20
LVA,SELFEMPLOYED,2009,22
EU27,EMPLOYEE,2009,12
ITA,SELFEMPLOYED,2009,4
HUN,EMPLOYEE,2009,38
SVK,EMPLOYEE,2009,16
SVK,SELFEMPLOYED,2009,31
AUT,EMPLOYEE,2009,19
IRL,SELFEMPLOYED,2009,19
ISR,EMPLOYEE,2009,21
EST,SELFEMPLOYED,2009,-2
BEL,SELFEMPLOYED,2009,32
ISL,SELFEMPLOYED,2009,15
LUX,SELFEMPLOYED,2009,36
MEX,EMPLOYEE,2009,16
FIN,EMPLOYEE,2009,19
POL,SELFEMPLOYED,2009,6
NOR,EMPLOYEE,2009,8
CZE,SELFEMPLOYED,2009,29
LTU,SELFEMPLOYED,2009,30
FRA,SELFEMPLOYED,2009,31
CHE,SELFEMPLOYED,2009,5
SWE,EMPLOYEE,2009,9
GBR,EMPLOYEE,2009,20
USA,EMPLOYEE,2010,18
EU27,EMPLOYEE,2010,12
PRT,EMPLOYEE,2010,16
BGR,EMPLOYEE,2010,6
SVK,EMPLOYEE,2010,14
NOR,EMPLOYEE,2010,7
SVK,SELFEMPLOYED,2010,30
AUT,EMPLOYEE,2010,19
GBR,EMPLOYEE,2010,19
AUT,SELFEMPLOYED,2010,4
ESP,SELFEMPLOYED,2010,24
BEL,SELFEMPLOYED,2010,30
ESP,EMPLOYEE,2010,13
CHE,SELFEMPLOYED,2010,5
PRT,SELFEMPLOYED,2010,5
SWE,EMPLOYEE,2010,9
GBR,SELFEMPLOYED,2010,40
SWE,SELFEMPLOYED,2010,17
AUS,EMPLOYEE,2010,14
USA,SELFEMPLOYED,2010,4
TUR,EMPLOYEE,2010,31
POL,EMPLOYEE,2010,7
NZL,EMPLOYEE,2010,7
POL,SELFEMPLOYED,2010,6
NOR,SELFEMPLOYED,2010,26
CHE,EMPLOYEE,2010,20
HRV,EMPLOYEE,2010,38
HUN,SELFEMPLOYED,2010,34
FRA,EMPLOYEE,2010,9
LTU,SELFEMPLOYED,2010,-3
NLD,SELFEMPLOYED,2010,30
ROU,EMPLOYEE,2010,9
CZE,SELFEMPLOYED,2010,29
IRL,EMPLOYEE,2010,14
ITA,SELFEMPLOYED,2010,5
EST,EMPLOYEE,2010,27
ITA,EMPLOYEE,2010,5
MEX,EMPLOYEE,2010,11
CAN,EMPLOYEE,2010,18
DEU,EMPLOYEE,2010,16
LUX,EMPLOYEE,2010,4
CAN,SELFEMPLOYED,2010,4
CYP,EMPLOYEE,2010,24
JPN,EMPLOYEE,2010,28
CZE,EMPLOYEE,2010,15
FRA,SELFEMPLOYED,2010,29
LUX,SELFEMPLOYED,2010,25
SVN,EMPLOYEE,2010,9
LTU,EMPLOYEE,2010,10
KOR,EMPLOYEE,2010,39
EST,SELFEMPLOYED,2010,-3
